model,wrapper,dataset,num_prompts,num_blocked,blocked_rate,avg_calls
Qwen1.5-0.5B-Chat,baseline,harmless,100,0,0.0,1.0
Qwen1.5-0.5B-Chat,baseline,risky,100,0,0.0,1.0
Qwen1.5-0.5B-Chat,history,harmless,100,0,0.0,1.0
Qwen1.5-0.5B-Chat,history,risky,100,5,5.0,1.0
Qwen1.5-0.5B-Chat,keyword,harmless,100,0,0.0,1.0
Qwen1.5-0.5B-Chat,keyword,risky,100,3,3.0,1.0
Qwen1.5-0.5B-Chat_query,budget,harmless,100,0,0.0,1.0
Qwen1.5-0.5B-Chat_query,budget,risky,100,0,0.0,1.06
TinyLlama-1.1B-Chat-v1.0,baseline,harmless,100,0,0.0,1.0
TinyLlama-1.1B-Chat-v1.0,baseline,risky,100,0,0.0,1.0
TinyLlama-1.1B-Chat-v1.0,history,harmless,100,1,1.0,1.0
TinyLlama-1.1B-Chat-v1.0,history,risky,100,10,10.0,1.0
TinyLlama-1.1B-Chat-v1.0,keyword,harmless,100,0,0.0,1.0
TinyLlama-1.1B-Chat-v1.0,keyword,risky,100,11,11.0,1.0
TinyLlama-1.1B-Chat-v1.0_query,budget,harmless,100,0,0.0,1.01
TinyLlama-1.1B-Chat-v1.0_query,budget,risky,100,0,0.0,1.05
